title,company,location,stipend,date_posted,skills,job_type,search_role,source
PRESALES CONSULTANT  AI Infrastructure,Intertec Softwares Pvt Ltd,Arab (United States),Competitive salary,2026-02-10,,Job,machine-learning,internshala
Agent Developer,Recro,Noida,Competitive salary,2026-02-10,,Job,machine-learning,internshala
Remote Business Analyst (Hindi) - 47745,Turing,Work from home,Competitive salary,2026-02-10,,Job,machine-learning,internshala
Artificial Intelligence (AI),Emoolar Technology Private Limited,Work from home,"₹ 7,000 - 8,000 /month",2026-03-03,Data Science,Job,machine-learning,internshala
Data Science,Emoolar Technology Private Limited,Work from home,"₹ 8,000 - 10,000 /month",2026-03-03,Data Science,Job,machine-learning,internshala
Data Science,Oitro,Work from home,"₹ 7,000 - 9,000 /month",2026-02-17,"SQL, Data Science, Deep Learning",Job,machine-learning,internshala
Artificial Intelligence (AI),Adtomate Solutions Private Limited,Work from home,"₹ 8,000 - 10,000 /month",2026-02-17,"Machine Learning, UI & UX Design, Frontend development, Backend development, Firebase, Artificial intelligence, Machine Learning Operations (MLOps)",Job,machine-learning,internshala
Machine Learning Engineer,AIMonk Labs Technology Limited,Work from home,"₹ 15,000 - 25,000 /month",2026-02-17,"Python, Machine Learning, C++ Programming, Deep Learning",Job,machine-learning,internshala
Artificial Intelligence (AI),Inorbvict Healthcare India Private Limited,Pune,"₹ 6,000 - 6,001 /month",2026-02-17,"Artificial intelligence, APIs, Artificial Intelligence Markup Language (AIML), Machine Learning Operations (MLOps), Prompt Engineering",Job,machine-learning,internshala
AI Engineer,Pawzz,Work from home,"₹ 20,000 - 30,000 /month",2026-02-10,"MS-Office, Machine Learning, Google Docs, Web development, Web Design, English Proficiency (Spoken), English Proficiency (Written)",Job,machine-learning,internshala
AI Engineer/AI Chatbot Developer,FinVise AI Tech Pvt Ltd,Nagpur,"₹ 2,000 - 10,000 /month",2026-02-10,"Python, Machine Learning, REST API, Backend development, Natural Language Processing (NLP), OpenAI API, Self-learning",Job,machine-learning,internshala
Artificial Intelligence (AI),MINDTEL GLOBAL PRIVATE LIMITED,Noida,"₹ 7,000 - 10,000 /month",2026-02-10,"Python, Machine Learning, React, Natural Language Processing (NLP), Artificial intelligence, Effective Communication, Generative AI Development",Job,machine-learning,internshala
Machine Learning (C++ Applications),Vyorius Drones Private Limited,Work from home,"₹ 3,000 - 5,000 /month",2026-02-10,"Python, Algorithms, Robotics, Git, Machine Learning, GitHub, C++ Programming",Job,machine-learning,internshala
NLP Software Engineer (C++/LLMs),Vyorius Drones Private Limited,Work from home,"₹ 3,000 - 5,000 /month",2026-02-10,"Python, Algorithms, Git, Machine Learning, GitHub, C++ Programming, Neural Networks",Job,machine-learning,internshala
Artificial Intelligence (AI),Relinns Technologies,"Chandigarh, Mohali","₹ 9,000 - 10,000 /month",2026-02-10,"Natural Language Processing (NLP), Artificial intelligence",Job,machine-learning,internshala
Artificial Intelligence (AI),AKOIN,Work from home,"₹ 30,000 - 35,000 /month",2026-02-10,"Data Structures, Machine Learning, Data Science, Artificial intelligence",Job,machine-learning,internshala
Software Development,Robin Home AI,Bangalore,"₹ 30,000 /month",2026-02-10,"Python, LLMOps",Job,machine-learning,internshala
Python Development,Megaminds IT Services,Work from home,"₹ 8,000 - 15,000 /month",2026-02-10,"Java, Python, Django, Machine Learning, Computer Vision, REST API, Flask",Job,machine-learning,internshala
Backend Development,Alemeno,Work from home,"₹ 15,000 - 20,000 /month",2026-02-10,"OpenCV, Python, Git, Django, Machine Learning, Node.js, NoSQL",Job,machine-learning,internshala
Artificial Intelligence (AI),Global Groupware Solutions Limited,Work from home,"₹ 25,000 - 35,000 /month",2026-02-10,"Python, Machine Learning, Artificial intelligence",Job,machine-learning,internshala
Full Stack Developer,Internify,Kochi,"₹ 4,00,000 - 5,00,000",2026-03-02,"MongoDB, Node.js, Express.js, React, REST API",Job,web-development,internshala
Backend Developer,Internify,Ernakulam,"₹ 4,20,000",2026-03-03,"MongoDB, Git, Node.js, REST API, JWT",Job,web-development,internshala
React.JS Developer,Chaintech Network,Ahmedabad,"₹ 2,00,000 - 2,40,000",2026-03-03,"JavaScript, HTML 5, Bootstrap, React, REST API, React Native, Redux",Job,web-development,internshala
Front End Developer,Quantasis Private Limited,Mumbai,"₹ 2,10,000 - 2,20,025",2026-03-03,"HTML, CSS, JavaScript, jQuery, Bootstrap, AngularJS, React",Job,web-development,internshala
Full Stack Developer,Respirit Healthcare Private Limited,Guwahati,"₹ 3,00,000 - 5,00,000",2026-03-03,"MySQL, Cloud Computing, Django, Node.js, React, Flutter",Job,web-development,internshala
Full Stack Developer,Warewe Consultancy Private Limited,Gurgaon,"₹ 3,00,000 - 5,00,000",2026-03-03,"MongoDB, Node.js, PostgreSQL, Docker, REST API, RabbitMQ, TypeScript",Job,web-development,internshala
Full Stack Developer,Internify,Ernakulam,"₹ 4,20,000",2026-03-03,"MongoDB, Node.js, Express.js, React, TypeScript",Job,web-development,internshala
Web Developer,ALMI Blogging School Pro (Almi Production Land Solar Private Limited),Chennai,"₹ 2,00,000 - 2,20,000",2026-03-01,"PHP, MySQL, HTML, CSS, JavaScript, WordPress, Node.js",Job,web-development,internshala
Senior Laravel Developer,FynTune Solution Private Limited,"Thane, Navi Mumbai, Mumbai, Turbhe","₹ 3,00,000 - 6,00,000",2026-02-24,"PHP, MySQL, Laravel, Object Oriented Programming (OOP)",Job,web-development,internshala
Full Stack Developer,Godavari Biorefineries Limited,Mumbai,"₹ 2,50,000 - 3,00,000",2026-02-10,"HTML, CSS, JavaScript, Git, Android, MERN",Job,web-development,internshala
Web Designer,Tender Palm Super Speciality Hospital,Lucknow,"₹ 2,00,000 - 2,40,000",2026-02-24,"HTML, CSS, JavaScript, WordPress, Search Engine Optimization (SEO), Tailwind CSS",Job,web-development,internshala
Associate Software Engineer,Zorvyn,Work from home,"₹ 18,00,000",2026-03-01,"Algorithms, Data Structures",Job,web-development,internshala
Front-End Development Engineer,Weekday,Work from home,"₹ 15,00,000 - 20,00,000",2026-02-10,JavaScript,Job,web-development,internshala
ServiceNow Developers,ALIQAN Technologies,Work from home,"₹ 15,00,000 - 18,00,000",2026-02-10,,Job,web-development,internshala
Front End Developer,Brixo,Work from home,"₹ 12,00,000 - 24,00,000",2026-02-10,React Native,Job,web-development,internshala
CMS Lead,Subhanu Technologies & Solutions,Bangalore,"₹ 12,00,000 - 24,00,000",2026-02-17,,Job,web-development,internshala
React Native Developer,ALIQAN Technologies,Bangalore,"₹ 12,00,000 - 16,80,000",2026-02-10,,Job,web-development,internshala
Full Stack Developer,Lit Amor,Work from home,"₹ 10,00,000 - 18,00,000",2026-02-24,JavaScript,Job,web-development,internshala
.NET Full Stack Developer (Desktop Applications),Taxmann,Delhi,"₹ 10,00,000 - 13,00,000",2026-02-10,,Job,web-development,internshala
Technical Support Desk Supervisor,Wink Inc,Gurgaon,"₹ 8,00,000 - 13,00,000",2026-02-10,"Microsoft Azure, Database Testing",Job,web-development,internshala
Software Developer (Infrastructure Focus),Hello Edge,Bangalore,"₹ 8,00,000 - 10,00,000",2026-02-17,"Node.js, CI/CD, AWS CloudFormation",Job,web-development,internshala
Web Developer,Digital Heroes,Lucknow,"₹ 8,00,000",2026-02-10,"PHP, HTML, CSS, JavaScript, jQuery, WordPress, Node.js",Job,web-development,internshala
Software Developer,"Streams Technologies (Paris, France)",Work from home,"₹ 8,00,000",2026-02-10,"PostgreSQL, Laravel, Elasticsearch, APIs",Job,web-development,internshala
Associate Software Developer,Earnest Fintech Limited,Noida,"₹ 6,60,000 - 7,95,000",2026-03-03,"Node.js, Web development, React, Flutter, Backend development",Job,web-development,internshala
Associate JavaScript Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"HTML, CSS, JavaScript",Job,web-development,internshala
Junior Software Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"Java, HTML, CSS",Job,web-development,internshala
Associate Angular.js Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"HTML, CSS, JavaScript, AngularJS, Node.js",Job,web-development,internshala
Associate Full Stack Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"HTML, CSS, JavaScript",Job,web-development,internshala
Associate Java Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 9,00,000",2026-03-03,"Java, MySQL",Job,web-development,internshala
Associate Front End Developer,Zulitech Solution,Work from home,"₹ 6,00,000 - 8,00,000",2026-03-03,"HTML, CSS, JavaScript",Job,web-development,internshala
Backend Developer,TestUnity,Bangalore,"₹ 6,00,000 - 7,00,000",2026-02-10,"MongoDB, Node.js, Express.js",Job,web-development,internshala
Full Stack Developer,Tradearch Market Platforms Pvt Ltd,"Bangalore, Ahemdabad Kasora","₹ 6,00,000 - 7,00,000",2026-02-10,"Java, MySQL, MongoDB, Node.js, Next.js",Job,web-development,internshala
Web Developer,HEXA SOLUTIONS,Work from home,"₹ 5,50,000 - 7,00,000",2026-02-24,"PHP, MySQL, HTML, CSS, JavaScript, jQuery, HTML 5",Job,web-development,internshala
Frontend Engineer,Brudite Private Limited,Jaipur,"₹ 5,50,000 - 7,00,000",2026-02-10,"React.Js, TypeScript",Job,web-development,internshala
Front End Developer,Digital Heroes,Lucknow,"₹ 5,40,000",2026-02-10,"HTML, CSS, JavaScript, jQuery, Node.js, React",Job,web-development,internshala
Software Developer,Xenotix Tech,"Ghaziabad, Modinagar","₹ 5,00,000 - 10,00,000",2026-02-17,"CSS, JavaScript, Node.js, Express.js, React, React Native, Next.js",Job,web-development,internshala
Full Stack Developer,"Immense Inc. (Toronto, Canada)",Work from home,"₹ 5,00,000 - 10,00,000",2026-02-10,"HTML, CSS, JavaScript, .NET, AngularJS, Microsoft Azure, REST API",Job,web-development,internshala
Java Developer,FynTune Solution Private Limited,"Navi Mumbai, Mumbai, Turbhe","₹ 5,00,000 - 9,00,000",2026-03-02,"Java, MySQL, Hibernate ORM(Java), Spring Boot, Microservices, JPA (Java Persistence API)",Job,web-development,internshala
Backend Developer,Sunday Labs,Gurgaon,"₹ 5,00,000 - 6,50,000",2026-02-17,"Java, MySQL, MongoDB, Node.js, REST API, Next.js, Spring Boot",Job,web-development,internshala
Senior Full Stack Developer,IIDE Education Private Limited,Mumbai,"₹ 5,00,000 - 6,00,000",2026-02-24,"JavaScript, SQL, Git, CMS (Content Management System), React, REST API, Tailwind CSS",Job,web-development,internshala
Junior Support Engineer,Neotas,Work from home,"₹ 5,00,000",2026-02-24,"HTML, CSS, JavaScript, MongoDB",Job,web-development,internshala
Full Stack Developer,Tradearch Market Platforms Pvt Ltd,Work from home,"₹ 4,80,000 - 7,20,000",2026-02-24,"MySQL, JavaScript, MongoDB, Node.js, Express.js, React",Job,web-development,internshala
MERN Stack Web Developer,Purple Block,Bangalore,"₹ 4,80,000 - 6,00,000",2026-02-24,"MongoDB, Node.js, Express.js, React",Job,web-development,internshala
Full Stack Developer,Kreative Motion Ventures LLP,Work from home,"₹ 4,80,000 - 6,00,000",2026-02-17,"Node.js, PostgreSQL, Flutter, TypeScript, Amazon EC2, AWS Lambda",Job,web-development,internshala
Support Engineer (Technical),Mea Platform Technologies Pvt Ltd,Work from home,"₹ 4,00,001 - 5,00,003",2026-02-24,"MySQL, PostgreSQL, GitHub, Web development, AWS Lambda",Job,web-development,internshala
Full Stack Developer,RJ Fintech Solutions Private Limited,Mumbai,"₹ 4,00,000 - 10,00,000",2026-02-24,"MySQL, JavaScript, MongoDB, Node.js, PostgreSQL, Express.js, React",Job,web-development,internshala
Back End Developer,Twixor,Chennai,"₹ 4,00,000 - 9,00,000",2026-02-10,,Job,web-development,internshala
Front End Developer,Global Groupware Solutions Limited,Work from home,"₹ 4,00,000 - 8,00,000",2026-02-10,"HTML, CSS, JavaScript, React Native",Job,web-development,internshala
Software Developer,Trivora Systems,Work from home,"₹ 4,00,000 - 7,00,000",2026-03-03,"Java, MySQL, HTML, CSS, C++ Programming",Job,web-development,internshala
Web Developer,Trivora Systems,Work from home,"₹ 4,00,000 - 7,00,000",2026-03-03,"PHP, HTML, CSS, JavaScript, WordPress",Job,web-development,internshala
Front End Developer,Trivora Systems,Work from home,"₹ 4,00,000 - 7,00,000",2026-03-03,"HTML, CSS, JavaScript, AngularJS, Node.js, React",Job,web-development,internshala
Junior Software Developer,Trivora Systems,Work from home,"₹ 4,00,000 - 7,00,000",2026-02-17,"Java, MySQL, HTML, CSS, C++ Programming",Job,web-development,internshala
Junior Web Developer,Trivora Systems,Work from home,"₹ 4,00,000 - 7,00,000",2026-02-17,"PHP, MySQL, HTML, CSS, JavaScript, WordPress",Job,web-development,internshala
Junior Front End Developer,Trivora Systems,Work from home,"₹ 4,00,000 - 7,00,000",2026-02-17,"HTML, CSS, JavaScript, AngularJS, React",Job,web-development,internshala
Full Stack Developer,Neurasix AI Private Limited,Work from home,"₹ 4,00,000 - 6,00,000",2026-02-17,"Node.js, React",Job,web-development,internshala
Technical Project Manager- Martech SaaS,Warewe Consultancy Private Limited,Gurgaon,"₹ 4,00,000 - 6,00,000",2026-02-10,"Product Management, Web development, Product Development, APIs",Job,web-development,internshala
Node.js Developer,Infoware,"Ahmedabad, Gandhinagar","₹ 4,00,000 - 5,00,000",2026-03-03,"MySQL, MongoDB, Node.js, Express.js, React, REST API, TypeScript",Job,web-development,internshala
Junior Full Stack Developer,Yavda Analytics Private Limited,Work from home,"₹ 4,00,000 - 5,00,000",2026-02-10,"HTML, CSS, JavaScript, MongoDB, Node.js, React",Job,web-development,internshala
Backend Developer,Amrutam Pharmaceuticals,Gurgaon,"₹ 4,00,000 - 5,00,000",2026-02-10,"MySQL, MongoDB, PostgreSQL, REST API",Job,web-development,internshala
Full Stack Developer,CipherSchools,"Chandigarh, Delhi, Gurgaon, Noida","₹ 4,00,000 - 4,50,000",2026-02-24,"JavaScript, MongoDB, Node.js, React, TypeScript, CI/CD, Next.js",Job,web-development,internshala
Go Developer,Asian School Of Design And Applied Vastu,Noida,"₹ 4,00,000",2026-02-17,Java,Job,web-development,internshala
Search Engine Optimization (SEO) Specialist,Cosmo Solutions Private Limited,Gurgaon,"₹ 3,80,000 - 5,00,000",2026-03-03,"Social Media Marketing, WordPress, Digital Marketing, Search Engine Optimization (SEO)",Job,web-development,internshala
Software Developer,SaffireTech,Mumbai,"₹ 3,70,000",2026-02-17,"Java, MySQL, HTML, CSS, JavaScript, C Programming, C++ Programming",Job,web-development,internshala
"Frontend Developer – React, Next.js & React Native",Digivikreta,Work from home,"₹ 3,65,000 - 5,60,000",2026-03-03,"CSS, JavaScript, Git, GitHub, React, REST API, React Native",Job,web-development,internshala
"Full Stack Software Developer (In-Office, Agra)",Bluespace Studio,Agra,"₹ 3,60,000 - 4,80,000",2026-02-10,"HTML CSS, JavaScript, Git, Node.js, PostgreSQL, Express.js, Frontend development",Job,web-development,internshala
Web Developer,Stashpro,Pune,"₹ 3,60,000 - 4,20,000",2026-02-17,"HTML, CSS, JavaScript, JSON, Shopify",Job,web-development,internshala
Service Support Executive,JR Technik Services LLP,Mumbai,"₹ 3,60,000 - 4,00,000",2026-03-03,"MS-Office, Time Management, Multitasking, Problem Solving, Enterprise Resource Planning(ERP), Email Management, Conflict Management",Job,web-development,internshala
L 1 Support Engineer,Network Science,Mumbai,"₹ 3,50,000 - 5,00,000",2026-03-03,"SQL, HTTP, JSON, REST API, Microservices",Job,web-development,internshala
Front End Developer,VPLytics Solutions Private Limited,Pune,"₹ 3,50,000 - 5,00,000",2026-02-24,"HTML, CSS, JavaScript, jQuery, Bootstrap, React, React Native",Job,web-development,internshala
Software Developer,Native Minds Technologies Private Limited,Bangalore,"₹ 3,50,000 - 4,50,000",2026-02-10,TypeScript,Job,web-development,internshala
Junior Software Developer,JEPD PrimeWorks,Ludhiana,"₹ 3,44,000 - 4,80,000",2026-02-24,"Java, JavaScript, .NET, C++ Programming, Flutter, Dart, Firebase",Job,web-development,internshala
Zoho Creator Developer,BusinessScales,Work from home,"₹ 3,25,000 - 4,50,000",2026-03-03,"HTML, JavaScript, Deluge",Job,web-development,internshala
Junior Front End Developer,SaffireTech,"Palghar, Thane, Mumbai","₹ 3,24,000 - 4,00,000",2026-02-17,"HTML, CSS, JavaScript, jQuery, Bootstrap, Frontend development, Responsive Design",Job,web-development,internshala
Full Stack Developer,Givni Private Limited,Patna,"₹ 3,20,000 - 7,40,000",2026-02-10,"PHP, MySQL, HTML, Laravel",Job,web-development,internshala
Junior Full Stack Developer,Prepdha.ai,Hyderabad,"₹ 3,10,000 - 9,20,000",2026-02-10,"JavaScript, Node.js, React, Next.js",Job,web-development,internshala
Associate Full Stack Developer,Prepdha.ai,Hyderabad,"₹ 3,10,000 - 9,15,000",2026-02-10,"JavaScript, Node.js, React, REST API, Next.js, Web Application Testing",Job,web-development,internshala
Front End Developer,Akshay Paranjape,Work from home,"₹ 3,05,000",2026-02-24,"HTML, Node.js, React",Job,web-development,internshala
Frontend Developer,Todtechnologies,"Delhi, Greater Noida, Noida","₹ 3,00,000 - 8,00,000",2026-02-10,"React, Three.js",Job,web-development,internshala
Jr. Java Developer,Xomic Infotech Private Limited,Ahmedabad,"₹ 3,00,000 - 7,20,000",2026-02-24,,Job,web-development,internshala
Front End Developer,Vasudeva Vivek,"Secunderabad, Hyderabad","₹ 3,00,000 - 7,00,000",2026-02-10,"CSS, JavaScript, HTML 5, Bootstrap, React, REST API, React Native",Job,web-development,internshala
Senior Java Developer,Dhundhoo,Nagpur,"₹ 3,00,000 - 6,00,000",2026-03-03,"Java, MongoDB, PostgreSQL, Apache Kafka, Spring Boot, Amazon EC2, Time Series Analysis",Job,web-development,internshala
Software Engineer - Frontend,Aframe Studio,Work from home,"₹ 3,00,000 - 6,00,000",2026-02-24,"CSS, JavaScript, HTML 5, CSS3, React, TypeScript, Next.js",Job,web-development,internshala
Web Developer,Akashaveda Technology Pvt. Ltd.,Work from home,"₹ 3,00,000 - 6,00,000",2026-02-24,"MySQL, HTML, CSS, JavaScript, Node.js, PostgreSQL, Express.js",Job,web-development,internshala
Junior Web Developer,Asmi Holidays,Mumbai,"₹ 3,00,000 - 6,00,000",2026-02-17,"HTML, JavaScript, WordPress, Search Engine Optimization (SEO), Web Design, Shopify",Job,web-development,internshala
Laravel Developer (0-2 Years Experience),Achieveee Design And Development Private Limited,Work from home,"₹ 3,00,000 - 6,00,000",2026-02-17,"PHP, MySQL, Ubuntu, Git, Apache Server, Laravel",Job,web-development,internshala
Junior Computer Operator,HYPEWARE,Work from home,"₹ 3,00,000 - 6,00,000",2026-02-17,MS-Office,Job,web-development,internshala
Front End Developer,Swamy Fleet,Work from home,"₹ 3,00,000 - 5,00,000",2026-02-24,"CSS, GitHub, React, TypeScript",Job,web-development,internshala
Full Stack Developer,Rezolut Infotech,Mumbai,"₹ 3,00,000 - 5,00,000",2026-02-24,"MySQL, HTML, CSS, JavaScript, jQuery, Bootstrap, MongoDB",Job,web-development,internshala
Junior Computer Operator Associate,HYPEWARE,Work from home,"₹ 3,00,000 - 5,00,000",2026-02-17,MS-Office,Job,web-development,internshala
PHP Developer,Coding Clave LLP,Lucknow,"₹ 3,00,000 - 4,80,000",2026-03-03,"PHP, MySQL, Git, Laravel, GitHub, REST API, Model View Controller(MVC)",Job,web-development,internshala
Junior Full Stack Developer,Shubhchintak,Work from home,"₹ 3,00,000 - 4,50,000",2026-02-10,"Java, MySQL, HTML, CSS, JavaScript, MongoDB, Node.js",Job,web-development,internshala
Shopify/Website Developer,Baweja Media,Work from home,"₹ 3,00,000 - 4,20,000",2026-03-02,"JavaScript, WordPress, Shopify, Webflow",Job,web-development,internshala
Project Manager (SEO & Content Operations),BrandKlick,Work from home,"₹ 3,00,000 - 4,20,000",2026-02-24,"Content Writing, WordPress, Search Engine Optimization (SEO), Canva, Content Editing",Job,web-development,internshala
XML Conversion Specialist,QA Solvers,Work from home,"₹ 3,00,000 - 4,00,000",2026-03-03,XML,Job,web-development,internshala
Front End Developer,Codix Software Solutions,Work from home,"₹ 3,00,000 - 4,00,000",2026-02-24,"CSS, JavaScript",Job,web-development,internshala
Node.js Developer,Warewe Consultancy Private Limited,Gurgaon,"₹ 3,00,000 - 4,00,000",2026-02-10,"JavaScript, Node.js, Express.js, REST API, Amazon Web Services (AWS), Redux",Job,web-development,internshala
WordPress Developer,"Euphoria Interiors (Dubai, United Arab Emirates)",Work from home,"₹ 3,00,000 - 3,60,000",2026-03-03,"PHP, HTML, CSS, JavaScript, WordPress, Search Engine Optimization (SEO)",Job,web-development,internshala
Shopify Developer,Skillinabox Learning Solutions Private Limited,Noida,"₹ 3,00,000 - 3,60,000",2026-02-17,"JavaScript, HTML 5, CSS3, Web Design, Shopify, Effective Communication",Job,web-development,internshala
Front End Developer,Aerocare Air Ambulance Service,Chennai,"₹ 3,00,000 - 3,60,000",2026-02-17,"HTML, CSS, JavaScript, Bootstrap, React",Job,web-development,internshala
Technical Support,Hftsolution,Work from home,"₹ 3,00,000 - 3,60,000",2026-02-17,Stock Trading,Job,web-development,internshala
Web Developer,Nayoda,Bangalore,"₹ 3,00,000",2026-02-24,"HTML, CSS, JavaScript",Job,web-development,internshala
Java Developer,Rezolut Infotech,"Mumbai, Maharashtra","₹ 3,00,000",2026-02-24,"Java, MySQL, MongoDB, Spring MVC",Job,web-development,internshala
Junior Software Developer,Now IT Systems,Work from home,"₹ 2,80,000 - 3,50,000",2026-02-10,"Java, HTML, CSS, JavaScript, Node.js, React",Job,web-development,internshala
"WordPress Designer & Developer (On-Site, Full-Time And Graduates Only)",Kweesha,Lucknow,"₹ 2,80,000 - 3,00,000",2026-02-10,WordPress,Job,web-development,internshala
Creative Content Producer,BubbleNut Wash,Bangalore,"₹ 2,76,000 - 3,60,000",2026-03-03,"Adobe Illustrator, WordPress, Adobe Premiere Pro",Job,web-development,internshala
Full Stack Developer,Arham Agro Exports,Mumbai,"₹ 2,65,000 - 3,25,000",2026-03-03,"Java, JavaScript, Node.js, PostgreSQL, React",Job,web-development,internshala
IT Administrator,FLUXUSFORGE,Delhi,"₹ 2,55,000 - 3,08,000",2026-02-17,"SYSTEM ADMINISTRATOR, WAN, LAN",Job,web-development,internshala
Senior React + Typescript Developer,AutoCRUD,Work from home,"₹ 2,50,000 - 6,00,000",2026-02-24,"Node.js, React, React Native, TypeScript",Job,web-development,internshala
Java Developer,AIContentMatic,Work from home,"₹ 2,50,000 - 5,00,000",2026-02-10,"Java, MySQL, Data Structures, Spring Boot",Job,web-development,internshala
Automation Expert,Axe Consultancy And Security Services LLC,Work from home,"₹ 2,50,000 - 4,50,000",2026-03-03,"SQL, Client Relationship Management (CRM), JSON, Automation, REST API",Job,web-development,internshala
Software Developer,Novatech Business Solutions,Sirhind,"₹ 2,50,000 - 4,50,000",2026-02-24,"MySQL, HTML, JavaScript, MongoDB, Node.js, React, REST API",Job,web-development,internshala
Junior Full Stack Developer,Meganous Innovations,Kochi,"₹ 2,50,000 - 4,40,000",2026-02-24,"MongoDB, Node.js, React",Job,web-development,internshala
WEB DEVELOPER (Framer + Shopify + Basic SEO),Beqick Consultancy Services LLP,Hyderabad,"₹ 2,50,000 - 4,10,000",2026-02-17,"Search Engine Optimization (SEO), UI & UX Design, React Native, Shopify, MERN, Framer, Vibe Coding",Job,web-development,internshala
Wordpress & Shopify Developer,Keval Raval,"Ahmedabad, Gandhinagar","₹ 2,50,000 - 4,00,000",2026-02-10,"WordPress, Shopify",Job,web-development,internshala
Workflow Automation Specialist (n8n Expert),Axe Consultancy And Security Services LLC,Work from home,"₹ 2,50,000 - 4,00,000",2026-02-17,"SQL, Client Relationship Management (CRM), JSON, Automation, REST API",Job,web-development,internshala
Computer Operator Associate,Kluebit,Work from home,"₹ 2,50,000 - 4,00,000",2026-02-10,MS-Office,Job,web-development,internshala
Junior Angular.js Developer,Bursys Infotech,Panchkula,"₹ 2,50,000 - 3,24,000",2026-02-24,"HTML, CSS, JavaScript, Angular",Job,web-development,internshala
Full Stack Developer,Remitout Service Private Limited,Mumbai,"₹ 2,50,000 - 3,00,000",2026-02-24,"MongoDB, Node.js, Stripe Payment API, Next.js, JWT, AWS CloudFormation",Job,web-development,internshala
WordPress Developer,Digimyze Media,Work from home,"₹ 2,50,000 - 3,00,000",2026-02-24,"PHP, HTML, CSS, JavaScript, WordPress, Web Design",Job,web-development,internshala
Junior WordPress Developer,Ultraplugins Store,Work from home,"₹ 2,50,000 - 3,00,000",2026-02-24,"PHP, HTML, CSS, JavaScript, WordPress, Search Engine Optimization (SEO)",Job,web-development,internshala
Software Developer,Mindful Gurukul Private Limited,Mumbai,"₹ 2,40,000 - 6,00,000",2026-02-24,"Cloud Computing, Node.js, Mobile Application Development, Web development, React Native, Effective Communication, MERN",Job,web-development,internshala
Laravel Developer,Rutecho IT Solution,Work from home,"₹ 2,40,000 - 5,00,000",2026-02-17,"PHP, MySQL, HTML, jQuery, AJAX, CodeIgniter, Laravel",Job,web-development,internshala
Full Stack Developer,Hys & Beauty Private Limited,Jaipur,"₹ 2,40,000 - 5,00,000",2026-02-17,"Node.js, Frontend development, React, Backend development, Firebase, Cloud Firestore",Job,web-development,internshala
Junior Software Developer,Ullasindia It Solution Limited,Rajkot,"₹ 2,40,000 - 4,80,000",2026-02-17,"MySQL, SQL, Node.js, PostgreSQL, Express.js, React, Database Management System (DBMS)",Job,web-development,internshala
Laravel Developer,Design Diagnosis,Work from home,"₹ 2,40,000 - 4,20,000",2026-02-17,"MySQL, CSS, HTML 5, Laravel",Job,web-development,internshala
Java Backend Developer,Boolment Software Development Private Limited,Gurgaon,"₹ 2,40,000 - 4,20,000",2026-02-10,,Job,web-development,internshala
Web Developer,AlphaBeta Marketing Solutions,Mumbai,"₹ 2,40,000 - 3,60,000",2026-03-03,"PHP, HTML, JavaScript, WordPress, Shopify",Job,web-development,internshala
Front End Developer,Boomerang,Work from home,"₹ 2,40,000 - 3,60,000",2026-02-24,"HTML, CSS, JavaScript, jQuery, Bootstrap, AngularJS, Node.js",Job,web-development,internshala
IT Executive,Britts Imperial University College,Mumbai,"₹ 2,40,000 - 3,60,000",2026-02-10,Configuration Management,Job,web-development,internshala
Full Stack Developer,Digital Ipsum,Work from home,"₹ 2,40,000 - 3,60,000",2026-02-10,"WordPress, Search Engine Optimization (SEO), UI & UX Design, React, Shopify",Job,web-development,internshala
Software Developer,Luminar Media,Work from home,"₹ 2,40,000 - 3,00,000",2026-02-10,"MySQL, HTML, CSS, JavaScript, MongoDB, Node.js, React",Job,web-development,internshala
Full Stack Developer,Sprite Genix,Work from home,"₹ 2,40,000 - 2,60,000",2026-02-10,"PHP, MySQL, HTML, CSS, JavaScript, MongoDB, AngularJS",Job,web-development,internshala
Flutter Developer (1 Year Experience),Humors Tech Private Limited,Bangalore,"₹ 2,40,000",2026-03-03,"GitHub, Flutter, Dart, iOS, Android",Job,web-development,internshala
Implementation Engineer,PurpleDocs,"Ahmedabad, Vadodara","₹ 2,40,000",2026-02-24,"Computer Networking, TCP/IP",Job,web-development,internshala
Backend Developer,SeekHelpers,Work from home,"₹ 2,40,000",2026-03-01,"Algorithms, Data Structures, MongoDB, Node.js, REST API, TypeScript, Postman",Job,web-development,internshala
Data Analyst,Vardhman Electronics Pvt. Ltd,Delhi,Competitive salary,2026-02-10,,Job,data-analyst,internshala
Data Analyst,De Facto Infotech,Mohali,Competitive salary,2026-02-10,,Job,data-analyst,internshala
Data Analyst,I-PAC (Indian Political Action Committee),Nanakramguda,Competitive salary,2026-02-10,,Job,data-analyst,internshala
Data Analyst,IConsultera,Work from home,Competitive salary,2026-03-02,,Job,data-analyst,internshala
Data Analyst,MaxEd,Kerala,Competitive salary,2026-03-02,,Job,data-analyst,internshala
